ORP: 1529mV, 20.69 C, TDS=456.05, Ph=4.29
ORP: 766mV, 20.62 C, TDS=466.27, Ph=4.42
ORP: 770mV, 20.69 C, TDS=487.15, Ph=4.63
ORP: 770mV, 20.69 C, TDS=506.49, Ph=4.84
ORP: 766mV, 20.69 C, TDS=466.27, Ph=4.44
ORP: 769mV, 20.69 C, TDS=493.54, Ph=4.69
ORP: 771mV, 20.69 C, TDS=489.28, Ph=4.66
ORP: 767mV, 20.69 C, TDS=462.17, Ph=4.39
ORP: 765mV, 20.69 C, TDS=449.99, Ph=4.27
ORP: 768mV, 20.69 C, TDS=489.28, Ph=4.67
ORP: 772mV, 20.69 C, TDS=502.15, Ph=4.80
ORP: 767mV, 20.69 C, TDS=468.33, Ph=4.43
ORP: 762mV, 20.69 C, TDS=506.49, Ph=4.77
ORP: 766mV, 20.69 C, TDS=508.67, Ph=4.77
ORP: 768mV, 20.62 C, TDS=470.40, Ph=4.43
ORP: 763mV, 20.62 C, TDS=478.73, Ph=4.56
ORP: 764mV, 20.69 C, TDS=478.73, Ph=4.63
ORP: 767mV, 20.69 C, TDS=499.98, Ph=4.84
ORP: 766mV, 20.62 C, TDS=458.08, Ph=4.34
ORP: 763mV, 20.62 C, TDS=443.97, Ph=4.18
ORP: 761mV, 20.69 C, TDS=480.83, Ph=4.55
ORP: 760mV, 20.69 C, TDS=464.22, Ph=4.41
ORP: 756mV, 20.69 C, TDS=445.97, Ph=4.22
ORP: 755mV, 20.69 C, TDS=482.93, Ph=4.61
ORP: 760mV, 20.62 C, TDS=497.83, Ph=4.79
ORP: 763mV, 20.69 C, TDS=468.33, Ph=4.48
ORP: 761mV, 20.69 C, TDS=480.83, Ph=4.63
ORP: 762mV, 20.69 C, TDS=504.31, Ph=4.81
ORP: 761mV, 20.69 C, TDS=456.05, Ph=4.32
ORP: 756mV, 20.69 C, TDS=454.02, Ph=4.28
ORP: 756mV, 20.62 C, TDS=480.83, Ph=4.55
ORP: 760mV, 20.69 C, TDS=499.98, Ph=4.79
ORP: 756mV, 20.69 C, TDS=458.08, Ph=4.37
ORP: 752mV, 20.62 C, TDS=454.02, Ph=4.29
ORP: 754mV, 20.69 C, TDS=472.47, Ph=4.55
ORP: 761mV, 20.69 C, TDS=502.15, Ph=4.81
ORP: 762mV, 20.62 C, TDS=472.47, Ph=4.43
ORP: 763mV, 20.62 C, TDS=458.08, Ph=4.34
ORP: 766mV, 20.69 C, TDS=482.93, Ph=4.60
ORP: 766mV, 20.69 C, TDS=502.15, Ph=4.77
ORP: 771mV, 20.69 C, TDS=462.17, Ph=4.38
ORP: 772mV, 20.62 C, TDS=452.00, Ph=4.29
ORP: 771mV, 20.69 C, TDS=485.04, Ph=4.64
ORP: 772mV, 20.69 C, TDS=508.67, Ph=4.89
ORP: 771mV, 20.69 C, TDS=462.17, Ph=4.38
ORP: 765mV, 20.62 C, TDS=480.83, Ph=4.60
ORP: 766mV, 20.69 C, TDS=482.93, Ph=4.58
ORP: 766mV, 20.62 C, TDS=460.12, Ph=4.34
ORP: 765mV, 20.69 C, TDS=447.98, Ph=4.23
ORP: 765mV, 20.62 C, TDS=482.93, Ph=4.58
ORP: 764mV, 20.69 C, TDS=482.93, Ph=4.59
ORP: 764mV, 20.69 C, TDS=458.08, Ph=4.35
ORP: 767mV, 20.69 C, TDS=447.98, Ph=4.24
ORP: 767mV, 20.69 C, TDS=491.41, Ph=4.71
ORP: 769mV, 20.69 C, TDS=466.27, Ph=4.37
ORP: 770mV, 20.69 C, TDS=466.27, Ph=4.43
ORP: 764mV, 20.69 C, TDS=454.02, Ph=4.27
ORP: 765mV, 20.69 C, TDS=489.28, Ph=4.65
ORP: 769mV, 20.62 C, TDS=474.55, Ph=4.49
ORP: 768mV, 20.62 C, TDS=452.00, Ph=4.29
ORP: 765mV, 20.69 C, TDS=441.98, Ph=4.16
ORP: 770mV, 20.62 C, TDS=482.93, Ph=4.60
ORP: 771mV, 20.69 C, TDS=456.05, Ph=4.34
ORP: 767mV, 20.62 C, TDS=452.00, Ph=4.27
ORP: 767mV, 20.62 C, TDS=489.28, Ph=4.65
ORP: 769mV, 20.69 C, TDS=482.93, Ph=4.57
ORP: 768mV, 20.69 C, TDS=460.12, Ph=4.34
ORP: 764mV, 20.69 C, TDS=489.28, Ph=4.67
ORP: 768mV, 20.69 C, TDS=497.83, Ph=4.74
ORP: 769mV, 20.62 C, TDS=468.33, Ph=4.48
ORP: 766mV, 20.69 C, TDS=439.99, Ph=4.16
ORP: 766mV, 20.62 C, TDS=480.83, Ph=4.60
ORP: 769mV, 20.69 C, TDS=454.02, Ph=4.31
ORP: 769mV, 20.62 C, TDS=454.02, Ph=4.30
ORP: 771mV, 20.69 C, TDS=485.04, Ph=4.59
ORP: 772mV, 20.69 C, TDS=499.98, Ph=4.75
ORP: 768mV, 20.62 C, TDS=466.27, Ph=4.43
ORP: 771mV, 20.69 C, TDS=493.54, Ph=4.69
ORP: 774mV, 20.62 C, TDS=502.15, Ph=4.80
ORP: 770mV, 20.62 C, TDS=468.33, Ph=4.47
ORP: 769mV, 20.69 C, TDS=487.15, Ph=4.65
ORP: 773mV, 20.69 C, TDS=502.15, Ph=4.83
ORP: 770mV, 20.62 C, TDS=468.33, Ph=4.47
ORP: 766mV, 20.62 C, TDS=458.08, Ph=4.32
ORP: 771mV, 20.69 C, TDS=485.04, Ph=4.61
ORP: 775mV, 20.69 C, TDS=493.54, Ph=4.67
ORP: 772mV, 20.69 C, TDS=458.08, Ph=4.36
ORP: 771mV, 20.69 C, TDS=485.04, Ph=4.64
ORP: 774mV, 20.69 C, TDS=487.15, Ph=4.63
ORP: 770mV, 20.69 C, TDS=460.12, Ph=4.38
ORP: 765mV, 20.62 C, TDS=445.97, Ph=4.18
ORP: 769mV, 20.62 C, TDS=489.28, Ph=4.67
ORP: 773mV, 20.69 C, TDS=464.22, Ph=4.32
ORP: 769mV, 20.69 C, TDS=458.08, Ph=4.34
ORP: 769mV, 20.69 C, TDS=491.41, Ph=4.65
ORP: 774mV, 20.69 C, TDS=513.05, Ph=4.89
ORP: 775mV, 20.69 C, TDS=464.22, Ph=4.41
ORP: 770mV, 20.69 C, TDS=482.93, Ph=4.67
ORP: 769mV, 20.69 C, TDS=495.68, Ph=4.75
ORP: 769mV, 20.69 C, TDS=464.22, Ph=4.43
ORP: 769mV, 20.69 C, TDS=470.40, Ph=4.47
ORP: 768mV, 20.69 C, TDS=499.98, Ph=4.76
ORP: 772mV, 20.69 C, TDS=517.46, Ph=4.93
ORP: 773mV, 20.69 C, TDS=466.27, Ph=4.42
ORP: 767mV, 20.69 C, TDS=441.98, Ph=4.18
ORP: 767mV, 20.69 C, TDS=491.41, Ph=4.69
ORP: 770mV, 20.69 C, TDS=480.83, Ph=4.57
ORP: 770mV, 20.62 C, TDS=468.33, Ph=4.45
ORP: 766mV, 20.62 C, TDS=458.08, Ph=4.34
ORP: 769mV, 20.69 C, TDS=493.54, Ph=4.70
ORP: 773mV, 20.69 C, TDS=468.33, Ph=4.38
ORP: 769mV, 20.69 C, TDS=462.17, Ph=4.38
ORP: 771mV, 20.69 C, TDS=485.04, Ph=4.61
ORP: 775mV, 20.69 C, TDS=485.04, Ph=4.60
ORP: 771mV, 20.69 C, TDS=460.12, Ph=4.36
ORP: 766mV, 20.69 C, TDS=464.22, Ph=4.45
ORP: 770mV, 20.69 C, TDS=485.04, Ph=4.62
ORP: 771mV, 20.69 C, TDS=499.98, Ph=4.79
ORP: 766mV, 20.69 C, TDS=460.12, Ph=4.39
ORP: 766mV, 20.69 C, TDS=456.05, Ph=4.35
ORP: 767mV, 20.62 C, TDS=485.04, Ph=4.59
ORP: 766mV, 20.69 C, TDS=478.73, Ph=4.55
ORP: 766mV, 20.69 C, TDS=462.17, Ph=4.40
ORP: 769mV, 20.69 C, TDS=487.15, Ph=4.64
ORP: 769mV, 20.62 C, TDS=482.93, Ph=4.56
ORP: 766mV, 20.62 C, TDS=462.17, Ph=4.39
ORP: 765mV, 20.69 C, TDS=460.12, Ph=4.38
ORP: 768mV, 20.69 C, TDS=487.15, Ph=4.69
ORP: 768mV, 20.69 C, TDS=493.54, Ph=4.70
ORP: 772mV, 20.69 C, TDS=472.47, Ph=4.46
ORP: 773mV, 20.69 C, TDS=464.22, Ph=4.40
ORP: 771mV, 20.69 C, TDS=485.04, Ph=4.63
ORP: 770mV, 20.62 C, TDS=485.04, Ph=4.61
ORP: 773mV, 20.69 C, TDS=464.22, Ph=4.39
ORP: 770mV, 20.62 C, TDS=445.97, Ph=4.24
ORP: 768mV, 20.69 C, TDS=478.73, Ph=4.62
ORP: 772mV, 20.69 C, TDS=487.15, Ph=4.64
ORP: 778mV, 20.69 C, TDS=464.22, Ph=4.39
ORP: 774mV, 20.69 C, TDS=464.22, Ph=4.39
ORP: 772mV, 20.62 C, TDS=485.04, Ph=4.64
ORP: 775mV, 20.62 C, TDS=497.83, Ph=4.73
ORP: 771mV, 20.69 C, TDS=464.22, Ph=4.41
ORP: 768mV, 20.69 C, TDS=458.08, Ph=4.35
ORP: 771mV, 20.69 C, TDS=485.04, Ph=4.62
ORP: 776mV, 20.69 C, TDS=480.83, Ph=4.58
ORP: 772mV, 20.69 C, TDS=464.22, Ph=4.42
ORP: 768mV, 20.69 C, TDS=438.00, Ph=4.09
ORP: 773mV, 20.69 C, TDS=482.93, Ph=4.57
ORP: 777mV, 20.69 C, TDS=466.27, Ph=4.35
ORP: 772mV, 20.62 C, TDS=456.05, Ph=4.32
ORP: 771mV, 20.69 C, TDS=489.28, Ph=4.64
ORP: 775mV, 20.62 C, TDS=485.04, Ph=4.61
ORP: 775mV, 20.62 C, TDS=452.00, Ph=4.30
ORP: 772mV, 20.69 C, TDS=460.12, Ph=4.39
ORP: 777mV, 20.69 C, TDS=478.73, Ph=4.57
ORP: 779mV, 20.69 C, TDS=487.15, Ph=4.64
ORP: 775mV, 20.62 C, TDS=460.12, Ph=4.38
ORP: 772mV, 20.69 C, TDS=458.08, Ph=4.33
ORP: 776mV, 20.69 C, TDS=491.41, Ph=4.65
ORP: 778mV, 20.69 C, TDS=485.04, Ph=4.60
ORP: 774mV, 20.69 C, TDS=464.22, Ph=4.41
ORP: 773mV, 20.69 C, TDS=482.93, Ph=4.64
ORP: 776mV, 20.69 C, TDS=491.41, Ph=4.73
ORP: 778mV, 20.69 C, TDS=458.08, Ph=4.38
ORP: 773mV, 20.69 C, TDS=449.99, Ph=4.27
