ORP: 1149mV, 20.75 C, TDS=493.54, Ph=4.51
ORP: 749mV, 20.75 C, TDS=466.27, Ph=4.52
ORP: 749mV, 20.81 C, TDS=491.41, Ph=4.80
ORP: 745mV, 20.75 C, TDS=491.41, Ph=4.74
ORP: 749mV, 20.81 C, TDS=462.17, Ph=4.44
ORP: 753mV, 20.75 C, TDS=497.83, Ph=4.67
ORP: 749mV, 20.75 C, TDS=482.93, Ph=4.68
ORP: 748mV, 20.75 C, TDS=460.12, Ph=4.42
ORP: 752mV, 20.75 C, TDS=504.31, Ph=4.86
ORP: 753mV, 20.81 C, TDS=491.41, Ph=4.71
ORP: 754mV, 20.75 C, TDS=472.47, Ph=4.39
ORP: 754mV, 20.75 C, TDS=526.36, Ph=5.04
ORP: 755mV, 20.75 C, TDS=495.68, Ph=4.79
ORP: 759mV, 20.81 C, TDS=472.47, Ph=4.52
ORP: 760mV, 20.75 C, TDS=472.47, Ph=4.49
ORP: 755mV, 20.75 C, TDS=487.15, Ph=4.63
ORP: 758mV, 20.75 C, TDS=464.22, Ph=4.36
ORP: 759mV, 20.81 C, TDS=474.55, Ph=4.55
ORP: 755mV, 20.81 C, TDS=482.93, Ph=4.72
ORP: 759mV, 20.75 C, TDS=470.40, Ph=4.48
ORP: 763mV, 20.81 C, TDS=474.55, Ph=4.53
ORP: 761mV, 20.75 C, TDS=489.28, Ph=4.74
ORP: 759mV, 20.75 C, TDS=466.27, Ph=4.44
ORP: 760mV, 20.75 C, TDS=480.83, Ph=4.67
ORP: 759mV, 20.75 C, TDS=456.05, Ph=4.40
ORP: 758mV, 20.75 C, TDS=458.08, Ph=4.33
ORP: 759mV, 20.75 C, TDS=497.83, Ph=4.75
ORP: 760mV, 20.75 C, TDS=491.41, Ph=4.74
ORP: 758mV, 20.75 C, TDS=464.22, Ph=4.36
ORP: 756mV, 20.75 C, TDS=480.83, Ph=4.60
ORP: 757mV, 20.75 C, TDS=452.00, Ph=4.32
ORP: 757mV, 20.75 C, TDS=466.27, Ph=4.41
ORP: 752mV, 20.81 C, TDS=476.64, Ph=4.59
ORP: 752mV, 20.75 C, TDS=470.40, Ph=4.51
ORP: 755mV, 20.75 C, TDS=454.02, Ph=4.29
ORP: 751mV, 20.75 C, TDS=485.04, Ph=4.66
ORP: 752mV, 20.75 C, TDS=454.02, Ph=4.22
ORP: 755mV, 20.75 C, TDS=458.08, Ph=4.41
ORP: 750mV, 20.75 C, TDS=478.73, Ph=4.64
ORP: 752mV, 20.75 C, TDS=466.27, Ph=4.48
ORP: 755mV, 20.75 C, TDS=458.08, Ph=4.35
ORP: 750mV, 20.75 C, TDS=491.41, Ph=4.76
ORP: 747mV, 20.81 C, TDS=464.22, Ph=4.44
ORP: 751mV, 20.75 C, TDS=464.22, Ph=4.43
ORP: 746mV, 20.75 C, TDS=482.93, Ph=4.65
ORP: 747mV, 20.75 C, TDS=466.27, Ph=4.47
ORP: 752mV, 20.75 C, TDS=460.12, Ph=4.35
ORP: 749mV, 20.81 C, TDS=489.28, Ph=4.72
ORP: 750mV, 20.75 C, TDS=462.17, Ph=4.39
ORP: 753mV, 20.81 C, TDS=478.73, Ph=4.58
ORP: 748mV, 20.75 C, TDS=487.15, Ph=4.68
ORP: 749mV, 20.75 C, TDS=468.33, Ph=4.47
ORP: 753mV, 20.75 C, TDS=489.28, Ph=4.71
ORP: 750mV, 20.81 C, TDS=491.41, Ph=4.79
ORP: 751mV, 20.81 C, TDS=456.05, Ph=4.33
ORP: 756mV, 20.81 C, TDS=495.68, Ph=4.75
ORP: 754mV, 20.75 C, TDS=487.15, Ph=4.71
ORP: 754mV, 20.75 C, TDS=464.22, Ph=4.40
ORP: 758mV, 20.75 C, TDS=493.54, Ph=4.75
ORP: 755mV, 20.75 C, TDS=491.41, Ph=4.71
ORP: 755mV, 20.75 C, TDS=464.22, Ph=4.37
ORP: 759mV, 20.75 C, TDS=476.64, Ph=4.55
ORP: 755mV, 20.75 C, TDS=482.93, Ph=4.66
ORP: 758mV, 20.75 C, TDS=470.40, Ph=4.45
ORP: 762mV, 20.75 C, TDS=495.68, Ph=4.78
ORP: 760mV, 20.75 C, TDS=487.15, Ph=4.76
ORP: 761mV, 20.75 C, TDS=462.17, Ph=4.39
ORP: 764mV, 20.75 C, TDS=487.15, Ph=4.73
ORP: 762mV, 20.75 C, TDS=485.04, Ph=4.84
ORP: 760mV, 20.81 C, TDS=452.00, Ph=4.48
ORP: 763mV, 20.75 C, TDS=460.12, Ph=4.36
ORP: 758mV, 20.75 C, TDS=487.15, Ph=4.68
ORP: 759mV, 20.81 C, TDS=466.27, Ph=4.54
ORP: 762mV, 20.81 C, TDS=464.22, Ph=4.45
ORP: 758mV, 20.75 C, TDS=472.47, Ph=4.65
ORP: 757mV, 20.75 C, TDS=472.47, Ph=4.57
ORP: 760mV, 20.75 C, TDS=462.17, Ph=4.46
ORP: 761mV, 20.75 C, TDS=499.98, Ph=4.84
ORP: 762mV, 20.75 C, TDS=482.93, Ph=4.69
ORP: 766mV, 20.75 C, TDS=462.17, Ph=4.43
ORP: 766mV, 20.75 C, TDS=485.04, Ph=4.62
ORP: 767mV, 20.81 C, TDS=491.41, Ph=4.73
ORP: 767mV, 20.75 C, TDS=470.40, Ph=4.51
ORP: 767mV, 20.75 C, TDS=466.27, Ph=4.44
ORP: 766mV, 20.75 C, TDS=491.41, Ph=4.74
ORP: 760mV, 20.75 C, TDS=456.05, Ph=4.35
ORP: 760mV, 20.75 C, TDS=458.08, Ph=4.31
ORP: 764mV, 20.81 C, TDS=476.64, Ph=4.59
ORP: 758mV, 20.75 C, TDS=491.41, Ph=4.77
ORP: 758mV, 20.75 C, TDS=458.08, Ph=4.43
ORP: 762mV, 20.81 C, TDS=462.17, Ph=4.34
ORP: 756mV, 20.75 C, TDS=474.55, Ph=4.65
ORP: 753mV, 20.81 C, TDS=447.98, Ph=4.22
ORP: 756mV, 20.75 C, TDS=462.17, Ph=4.39
ORP: 755mV, 20.81 C, TDS=485.04, Ph=4.62
ORP: 751mV, 20.81 C, TDS=485.04, Ph=4.71
ORP: 753mV, 20.75 C, TDS=454.02, Ph=4.32
ORP: 753mV, 20.75 C, TDS=462.17, Ph=4.39
ORP: 749mV, 20.75 C, TDS=472.47, Ph=4.59
ORP: 749mV, 20.75 C, TDS=447.98, Ph=4.26
ORP: 748mV, 20.81 C, TDS=458.08, Ph=4.31
ORP: 749mV, 20.81 C, TDS=485.04, Ph=4.65
ORP: 750mV, 20.81 C, TDS=480.83, Ph=4.63
ORP: 746mV, 20.75 C, TDS=460.12, Ph=4.38
ORP: 747mV, 20.75 C, TDS=456.05, Ph=4.31
ORP: 750mV, 20.75 C, TDS=482.93, Ph=4.64
ORP: 746mV, 20.81 C, TDS=482.93, Ph=4.67
ORP: 745mV, 20.81 C, TDS=472.47, Ph=4.48
ORP: 748mV, 20.75 C, TDS=504.31, Ph=4.86
ORP: 747mV, 20.75 C, TDS=502.15, Ph=4.84
ORP: 743mV, 20.81 C, TDS=454.02, Ph=4.32
ORP: 749mV, 20.81 C, TDS=468.33, Ph=4.41
ORP: 753mV, 20.75 C, TDS=474.55, Ph=4.51
ORP: 749mV, 20.75 C, TDS=485.04, Ph=4.67
ORP: 751mV, 20.81 C, TDS=472.47, Ph=4.53
ORP: 755mV, 20.75 C, TDS=462.17, Ph=4.40
ORP: 756mV, 20.75 C, TDS=493.54, Ph=4.77
ORP: 751mV, 20.75 C, TDS=485.04, Ph=4.75
ORP: 750mV, 20.75 C, TDS=485.04, Ph=4.47
ORP: 751mV, 20.75 C, TDS=449.99, Ph=4.53
ORP: 751mV, 20.75 C, TDS=443.97, Ph=4.13
ORP: 754mV, 20.81 C, TDS=493.54, Ph=4.70
ORP: 755mV, 20.81 C, TDS=487.15, Ph=4.70
ORP: 751mV, 20.75 C, TDS=474.55, Ph=4.54
ORP: 757mV, 20.75 C, TDS=460.12, Ph=4.33
ORP: 761mV, 20.81 C, TDS=478.73, Ph=4.59
ORP: 755mV, 20.75 C, TDS=482.93, Ph=4.65
ORP: 752mV, 20.75 C, TDS=456.05, Ph=4.36
ORP: 756mV, 20.81 C, TDS=462.17, Ph=4.39
ORP: 755mV, 20.81 C, TDS=482.93, Ph=4.63
ORP: 752mV, 20.75 C, TDS=482.93, Ph=4.70
ORP: 753mV, 20.75 C, TDS=460.12, Ph=4.39
ORP: 756mV, 20.75 C, TDS=456.05, Ph=4.37
ORP: 757mV, 20.75 C, TDS=487.15, Ph=4.68
ORP: 754mV, 20.75 C, TDS=485.04, Ph=4.71
ORP: 754mV, 20.75 C, TDS=466.27, Ph=4.40
ORP: 755mV, 20.81 C, TDS=458.08, Ph=4.35
ORP: 753mV, 20.75 C, TDS=480.83, Ph=4.73
ORP: 754mV, 20.75 C, TDS=443.97, Ph=4.28
ORP: 757mV, 20.75 C, TDS=464.22, Ph=4.44
ORP: 757mV, 20.75 C, TDS=480.83, Ph=4.61
ORP: 754mV, 20.75 C, TDS=487.15, Ph=4.78
ORP: 753mV, 20.75 C, TDS=458.08, Ph=4.44
ORP: 757mV, 20.75 C, TDS=464.22, Ph=4.44
ORP: 756mV, 20.75 C, TDS=482.93, Ph=4.64
ORP: 753mV, 20.75 C, TDS=493.54, Ph=4.77
ORP: 755mV, 20.75 C, TDS=468.33, Ph=4.39
ORP: 757mV, 20.75 C, TDS=517.46, Ph=4.93
ORP: 754mV, 20.75 C, TDS=491.41, Ph=4.67
ORP: 756mV, 20.75 C, TDS=462.17, Ph=4.40
ORP: 760mV, 20.81 C, TDS=495.68, Ph=4.37
ORP: 759mV, 20.81 C, TDS=470.40, Ph=4.61
ORP: 755mV, 20.75 C, TDS=470.40, Ph=4.62
ORP: 757mV, 20.75 C, TDS=454.02, Ph=4.29
ORP: 761mV, 20.75 C, TDS=458.08, Ph=4.34
ORP: 756mV, 20.75 C, TDS=493.54, Ph=4.75
ORP: 753mV, 20.81 C, TDS=452.00, Ph=4.29
ORP: 756mV, 20.75 C, TDS=470.40, Ph=4.43
ORP: 761mV, 20.75 C, TDS=460.12, Ph=4.35
ORP: 758mV, 20.75 C, TDS=487.15, Ph=4.59
ORP: 755mV, 20.75 C, TDS=452.00, Ph=4.13
ORP: 756mV, 20.81 C, TDS=464.22, Ph=4.36
ORP: 758mV, 20.75 C, TDS=460.12, Ph=4.34
ORP: 758mV, 20.75 C, TDS=491.41, Ph=4.75
ORP: 753mV, 20.75 C, TDS=458.08, Ph=4.43
ORP: 753mV, 20.75 C, TDS=460.12, Ph=4.38
ORP: 752mV, 20.75 C, TDS=478.73, Ph=4.51
ORP: 751mV, 20.81 C, TDS=485.04, Ph=4.62
ORP: 752mV, 20.75 C, TDS=462.17, Ph=4.34
ORP: 749mV, 20.75 C, TDS=478.73, Ph=4.60
ORP: 749mV, 20.75 C, TDS=454.02, Ph=4.40
ORP: 752mV, 20.75 C, TDS=468.33, Ph=4.44
ORP: 753mV, 20.75 C, TDS=493.54, Ph=4.71
ORP: 748mV, 20.75 C, TDS=489.28, Ph=4.70
ORP: 751mV, 20.81 C, TDS=474.55, Ph=4.45
ORP: 754mV, 20.75 C, TDS=476.64, Ph=4.58
ORP: 749mV, 20.75 C, TDS=478.73, Ph=4.65
ORP: 748mV, 20.75 C, TDS=458.08, Ph=4.34
ORP: 752mV, 20.81 C, TDS=464.22, Ph=4.27
ORP: 747mV, 20.75 C, TDS=489.28, Ph=4.66
ORP: 743mV, 20.75 C, TDS=472.47, Ph=4.48
ORP: 745mV, 20.75 C, TDS=470.40, Ph=4.45
ORP: 748mV, 20.75 C, TDS=497.83, Ph=4.85
ORP: 744mV, 20.75 C, TDS=489.28, Ph=4.74
ORP: 745mV, 20.75 C, TDS=470.40, Ph=4.41
ORP: 748mV, 20.75 C, TDS=472.47, Ph=4.54
ORP: 745mV, 20.75 C, TDS=482.93, Ph=4.62
ORP: 745mV, 20.75 C, TDS=468.33, Ph=4.51
ORP: 748mV, 20.81 C, TDS=480.83, Ph=4.68
ORP: 747mV, 20.75 C, TDS=487.15, Ph=4.73
ORP: 747mV, 20.81 C, TDS=472.47, Ph=4.48
ORP: 747mV, 20.75 C, TDS=497.83, Ph=4.79
ORP: 747mV, 20.75 C, TDS=493.54, Ph=4.90
ORP: 749mV, 20.75 C, TDS=476.64, Ph=4.49
ORP: 749mV, 20.81 C, TDS=485.04, Ph=4.74
ORP: 751mV, 20.75 C, TDS=474.55, Ph=4.71
ORP: 753mV, 20.81 C, TDS=466.27, Ph=4.42
ORP: 754mV, 20.75 C, TDS=491.41, Ph=4.78
ORP: 749mV, 20.75 C, TDS=482.93, Ph=4.59
ORP: 750mV, 20.75 C, TDS=462.17, Ph=4.27
ORP: 751mV, 20.75 C, TDS=480.83, Ph=4.62
ORP: 751mV, 20.75 C, TDS=458.08, Ph=4.38
ORP: 752mV, 20.75 C, TDS=456.05, Ph=4.34
ORP: 753mV, 20.75 C, TDS=476.64, Ph=4.67
ORP: 759mV, 20.75 C, TDS=466.27, Ph=4.39
ORP: 759mV, 20.75 C, TDS=499.98, Ph=4.79
ORP: 761mV, 20.75 C, TDS=489.28, Ph=4.75
ORP: 764mV, 20.75 C, TDS=470.40, Ph=4.48
ORP: 764mV, 20.75 C, TDS=497.83, Ph=4.78
ORP: 763mV, 20.81 C, TDS=493.54, Ph=4.86
ORP: 768mV, 20.75 C, TDS=468.33, Ph=4.47
ORP: 768mV, 20.75 C, TDS=499.98, Ph=4.82
ORP: 765mV, 20.75 C, TDS=493.54, Ph=4.80
ORP: 768mV, 20.75 C, TDS=460.12, Ph=4.41
ORP: 769mV, 20.75 C, TDS=476.64, Ph=4.56
ORP: 767mV, 20.75 C, TDS=491.41, Ph=4.82
ORP: 772mV, 20.75 C, TDS=464.22, Ph=4.42
ORP: 773mV, 20.75 C, TDS=491.41, Ph=4.78
ORP: 770mV, 20.75 C, TDS=447.98, Ph=4.21
ORP: 775mV, 20.75 C, TDS=456.05, Ph=4.32
ORP: 774mV, 20.75 C, TDS=491.41, Ph=4.88
ORP: 772mV, 20.75 C, TDS=454.02, Ph=4.34
ORP: 773mV, 20.75 C, TDS=452.00, Ph=4.27
ORP: 772mV, 20.75 C, TDS=487.15, Ph=4.75
ORP: 767mV, 20.75 C, TDS=462.17, Ph=4.46
ORP: 767mV, 20.81 C, TDS=466.27, Ph=4.44
ORP: 768mV, 20.81 C, TDS=476.64, Ph=4.65
ORP: 769mV, 20.75 C, TDS=464.22, Ph=4.41
